row_id,column,value,confidence,source
1,ounces,12,0.7449,bclean
2,ounces,16,0.5172,bclean
3,ounces,12,0.6237,bclean
4,abv,0.09,0.5000,bclean
4,ounces,16,0.7247,bclean
5,ounces,16,0.7573,bclean
6,ounces,16,0.6325,bclean
7,abv,0.045,0.5000,bclean
7,ounces,16,0.5379,bclean
8,ounces,16,0.7416,bclean
9,ounces,16,0.6696,bclean
10,ounces,12,0.7410,bclean
11,ounces,16,0.5868,bclean
12,ounces,16,0.5621,bclean
13,abv,0.069,0.5000,bclean
13,ounces,16,0.6161,bclean
14,ounces,16,0.5749,bclean
15,abv,0.061,0.5000,bclean
15,ounces,12,0.7040,bclean
16,ounces,12,0.7386,bclean
17,ounces,12,0.7386,bclean
18,ounces,12,0.7386,bclean
19,ounces,12,0.7386,bclean
20,ounces,12,0.8987,bclean
21,ounces,12,0.8584,bclean
22,ounces,12,0.8334,bclean
23,ounces,12,0.9720,bclean
24,ounces,12,0.9720,bclean
25,ounces,12,0.9596,bclean
26,ounces,12,0.9155,bclean
27,abv,0.049,0.5000,bclean
27,ounces,12,0.9155,bclean
28,ounces,12,0.9155,bclean
29,ounces,12,0.7450,bclean
30,abv,0.07,0.5000,bclean
30,ounces,12,0.7450,bclean
31,abv,0.07,0.5000,bclean
31,ounces,12,0.7450,bclean
32,ounces,12,0.8912,bclean
33,ounces,12,0.9718,bclean
34,ounces,12,0.9596,bclean
35,abv,0.079,0.5000,bclean
35,ounces,12,0.9720,bclean
36,abv,0.068,0.5000,bclean
36,ounces,12,0.7943,bclean
37,ounces,12,0.9586,bclean
38,ounces,12,0.7450,bclean
39,ounces,12,0.9155,bclean
44,abv,0.045,0.5000,bclean
44,ounces,12,0.9065,bclean
45,abv,0.055,0.5000,bclean
45,ounces,12,0.8488,bclean
46,ounces,12,0.8695,bclean
47,abv,0.055,0.5000,bclean
47,ounces,12,0.8488,bclean
48,ounces,12,0.7079,bclean
49,ounces,12,0.7973,bclean
50,ounces,12,0.8712,bclean
51,ounces,16,0.7617,bclean
52,ounces,16,0.6386,bclean
53,ounces,16,0.9146,bclean
54,ounces,16,0.8067,bclean
55,abv,0.09,0.5000,bclean
55,ounces,16,0.9146,bclean
56,abv,0.046,0.5000,bclean
56,ounces,16,0.7779,bclean
57,abv,0.052000000000000005,0.5000,bclean
57,ounces,16,0.7624,bclean
58,ounces,12,0.5549,bclean
59,ounces,12,0.5067,bclean
60,ounces,12,0.5067,bclean
61,ounces,16,0.8819,bclean
63,ounces,12,0.8310,bclean
64,ounces,12,0.8310,bclean
65,ounces,12,0.8803,bclean
68,ounces,16,0.9011,bclean
69,ounces,16,0.6400,bclean
70,ounces,16,0.8755,bclean
71,abv,0.125,0.5000,bclean
73,ounces,16,0.7797,bclean
74,ounces,16,0.6491,bclean
75,ounces,16,0.8896,bclean
76,ounces,16,0.7797,bclean
77,ounces,16,0.6977,bclean
78,ounces,16,0.9900,bclean
79,abv,0.051,0.5000,bclean
79,ounces,16,0.7742,bclean
80,abv,0.065,0.5000,bclean
80,ounces,16,0.7727,bclean
81,ounces,16,0.6793,bclean
82,ounces,16,0.6491,bclean
83,ounces,12,0.5662,bclean
84,ounces,12,0.6978,bclean
85,ounces,12,0.5648,bclean
86,ounces,12,0.5634,bclean
87,ounces,12,0.5403,bclean
88,ounces,16,0.5438,bclean
91,ounces,12,0.8104,bclean
92,ounces,16,0.6116,bclean
93,ounces,16,0.7542,bclean
94,ounces,12,0.5157,bclean
95,ounces,12,0.6900,bclean
96,ounces,12,0.6900,bclean
97,abv,0.059000000000000004,0.5000,bclean
97,ounces,12,0.9652,bclean
98,abv,0.065,0.5000,bclean
98,ounces,12,0.7237,bclean
