row_id,column,value,confidence,source
1,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,0.9987,bclean
4,City,birmingham,0.9990,bclean
8,City,birmingham,0.9990,bclean
11,City,sheffield,0.9977,bclean
14,ProviderNumber,10019,1.0000,bclean
22,Condition,heart attack,0.9997,bclean
23,HospitalOwner,government - hospital district or authority,0.9994,bclean
23,Condition,heart attack,0.9996,bclean
25,PhoneNumber,3347938701,1.0000,bclean
25,EmergencyService,yes,1.0000,bclean
27,HospitalName,southeast alabama medical center,0.9973,bclean
28,HospitalOwner,government - hospital district or authority,0.9994,bclean
32,HospitalOwner,government - hospital district or authority,0.9994,bclean
37,PhoneNumber,3347938701,1.0000,bclean
43,State,al,0.9995,bclean
43,HospitalOwner,government - hospital district or authority,0.9993,bclean
44,EmergencyService,yes,1.0000,bclean
45,ZipCode,35957,1.0000,bclean
46,ProviderNumber,10005,1.0000,bclean
47,State,al,0.9995,bclean
51,State,al,0.9995,bclean
52,EmergencyService,yes,1.0000,bclean
57,City,boaz,0.9978,bclean
57,Stateavg,al_pn-3b,0.9987,bclean
58,Address1,2505 u s highway 431 north,0.9977,bclean
58,PhoneNumber,2565938310,1.0000,bclean
61,PhoneNumber,2565938310,1.0000,bclean
64,ZipCode,35957,1.0000,bclean
66,PhoneNumber,2565938310,1.0000,bclean
68,CountyName,marshall,0.9986,bclean
70,Stateavg,al_ami-1,0.9983,bclean
71,ZipCode,35631,1.0000,bclean
73,CountyName,lauderdale,0.9973,bclean
74,Condition,heart attack,0.9997,bclean
78,CountyName,lauderdale,0.9973,bclean
80,City,florence,0.9973,bclean
82,ProviderNumber,10006,1.0000,bclean
84,State,al,0.9991,bclean
89,City,florence,0.9974,bclean
94,City,florence,0.9972,bclean
94,ZipCode,35631,1.0000,bclean
95,Address1,702 n main st,0.9977,bclean
95,MeasureName,heart attack patients given aspirin at arrival,0.9984,bclean
98,MeasureCode,ami-4,0.9986,bclean
99,State,al,0.9996,bclean
102,MeasureCode,hf-1,0.9949,bclean
102,PhoneNumber,3344933541,1.0000,bclean
107,Address1,702 n main st,0.9977,bclean
109,MeasureCode,pn-5c,0.9984,bclean
112,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,0.9986,bclean
114,HospitalOwner,voluntary non-profit - private,0.9995,bclean
120,State,al,0.9996,bclean
120,MeasureName,heart attack patients given aspirin at arrival,0.9985,bclean
121,MeasureCode,ami-2,0.9987,bclean
128,Condition,heart failure,0.9996,bclean
132,HospitalName,crenshaw community hospital,0.9980,bclean
137,CountyName,crenshaw,0.9979,bclean
138,ZipCode,36049,1.0000,bclean
140,ZipCode,36049,1.0000,bclean
141,State,al,0.9992,bclean
146,MeasureName,heart attack patients given aspirin at discharge,0.9988,bclean
150,ZipCode,35640,1.0000,bclean
158,ZipCode,35640,1.0000,bclean
158,HospitalOwner,proprietary,0.9991,bclean
158,EmergencyService,yes,1.0000,bclean
160,HospitalOwner,proprietary,0.9992,bclean
162,Address1,201 pine street northwest,0.9976,bclean
163,HospitalOwner,proprietary,0.9991,bclean
165,HospitalOwner,proprietary,0.9990,bclean
166,State,al,0.9993,bclean
172,HospitalName,marshall medical center north,0.9981,bclean
176,Address1,8000 alabama highway 69,0.9978,bclean
178,MeasureCode,hf-2,0.9987,bclean
181,City,guntersville,0.9979,bclean
183,State,al,0.9995,bclean
191,MeasureCode,scip-inf-4,0.9984,bclean
194,Stateavg,al_scip-vte-2,0.9986,bclean
197,ZipCode,35235,1.0000,bclean
200,Condition,heart attack,0.9997,bclean
208,City,birmingham,0.9990,bclean
211,MeasureName,pneumonia patients assessed and given influenza vaccination,0.9987,bclean
213,City,birmingham,0.9990,bclean
214,ProviderNumber,10011,1.0000,bclean
214,Stateavg,al_scip-inf-2,0.9952,bclean
217,CountyName,jefferson,0.9997,bclean
217,HospitalOwner,voluntary non-profit - private,0.9995,bclean
218,PhoneNumber,2058383122,1.0000,bclean
219,HospitalOwner,voluntary non-profit - private,0.9995,bclean
220,MeasureName,heart attack patients given aspirin at arrival,0.9985,bclean
222,CountyName,de kalb,0.9896,bclean
222,HospitalOwner,voluntary non-profit - church,0.9988,bclean
224,CountyName,de kalb,0.9902,bclean
226,Condition,heart attack,0.9996,bclean
228,CountyName,de kalb,0.9902,bclean
229,State,al,0.9991,bclean
229,City,fort payne,0.9974,bclean
229,PhoneNumber,2568453150,1.0000,bclean
230,Condition,heart failure,0.9996,bclean
233,ZipCode,35968,1.0000,bclean
237,Condition,surgical infection prevention,0.9994,bclean
239,CountyName,de kalb,0.9896,bclean
239,HospitalOwner,voluntary non-profit - church,0.9988,bclean
240,Condition,surgical infection prevention,0.9998,bclean
244,HospitalName,dekalb regional medical center,0.9978,bclean
245,ProviderNumber,10015,1.0000,bclean
245,Stateavg,al_ami-1,0.9984,bclean
249,Stateavg,al_ami-5,0.9987,bclean
253,CountyName,clarke,0.9978,bclean
254,ProviderNumber,10015,1.0000,bclean
257,Condition,pneumonia,0.9997,bclean
257,MeasureName,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,0.9989,bclean
261,Address1,33700 highway 43,0.9976,bclean
262,PhoneNumber,3346366221,1.0000,bclean
265,MeasureCode,scip-inf-3,0.9986,bclean
265,Address1,33700 highway 43,0.9977,bclean
268,ZipCode,36784,1.0000,bclean
270,Stateavg,al_ami-1,0.9983,bclean
274,ProviderNumber,10016,1.0000,bclean
276,Address1,1000 first street north,0.9979,bclean
279,State,al,0.9991,bclean
280,Condition,heart failure,0.9996,bclean
282,MeasureName,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,0.9988,bclean
284,ZipCode,35007,1.0000,bclean
291,ZipCode,35007,1.0000,bclean
291,MeasureName,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0.9985,bclean
296,Address1,1720 university blvd,0.9979,bclean
312,City,anniston,0.9981,bclean
313,CountyName,calhoun,0.9980,bclean
314,HospitalOwner,proprietary,0.9993,bclean
315,ProviderNumber,10038,1.0000,bclean
317,Address1,301 east 18th st,0.9981,bclean
319,EmergencyService,yes,1.0000,bclean
322,PhoneNumber,2562358900,1.0000,bclean
325,CountyName,calhoun,0.9980,bclean
326,ZipCode,36201,1.0000,bclean
328,EmergencyService,yes,1.0000,bclean
333,ZipCode,36305,1.0000,bclean
333,HospitalOwner,proprietary,0.9998,bclean
333,EmergencyService,yes,1.0000,bclean
335,Address1,4370 west main street,0.9943,bclean
335,Stateavg,al_pn-2,0.9987,bclean
338,HospitalName,flowers hospital,0.9937,bclean
341,ZipCode,36305,1.0000,bclean
343,PhoneNumber,3347935000,1.0000,bclean
347,CountyName,houston,0.9987,bclean
347,MeasureName,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,0.9987,bclean
348,Stateavg,al_scip-vte-2,0.9986,bclean
350,MeasureCode,ami-2,0.9987,bclean
351,Address1,810 st vincents drive,0.9300,bclean
351,EmergencyService,yes,1.0000,bclean
357,State,al,0.9996,bclean
357,HospitalOwner,proprietary,0.9993,bclean
361,ProviderNumber,10086,1.0000,bclean
364,Address1,1530 u s highway 43,0.9978,bclean
367,ZipCode,35594,1.0000,bclean
367,Condition,pneumonia,0.9997,bclean
368,City,winfield,0.9979,bclean
370,Condition,pneumonia,0.9997,bclean
371,Stateavg,al_pn-7,0.9987,bclean
374,Stateavg,al_scip-inf-2,0.9957,bclean
375,EmergencyService,yes,1.0000,bclean
376,ZipCode,35594,1.0000,bclean
381,MeasureName,heart attack patients given aspirin at discharge,0.9988,bclean
382,PhoneNumber,2514717110,1.0000,bclean
385,HospitalName,univ of south alabama medical center,0.9505,bclean
385,PhoneNumber,2514717110,1.0000,bclean
386,HospitalName,univ of south alabama medical center,0.9885,bclean
387,State,al,0.9991,bclean
387,PhoneNumber,2514717110,1.0000,bclean
387,Condition,heart failure,0.9995,bclean
388,Stateavg,al_hf-2,0.9987,bclean
390,EmergencyService,yes,1.0000,bclean
390,MeasureName,heart failure patients given smoking cessation advice/counseling,0.9988,bclean
392,MeasureCode,pn-3b,0.9987,bclean
